Category: All categories

Week,pandas: (Worldwide)
2015-03-08,13
2015-03-15,13
2015-03-22,13
2015-03-29,13
2015-04-05,12
2015-04-12,13
2015-04-19,13
2015-04-26,13
2015-05-03,14
2015-05-10,14
2015-05-17,14
2015-05-24,13
2015-05-31,14
2015-06-07,14
2015-06-14,13
2015-06-21,13
2015-06-28,11
2015-07-05,12
2015-07-12,12
2015-07-19,13
2015-07-26,13
2015-08-02,12
2015-08-09,13
2015-08-16,13
2015-08-23,15
2015-08-30,13
2015-09-06,13
2015-09-13,14
2015-09-20,15
2015-09-27,15
2015-10-04,15
2015-10-11,15
2015-10-18,15
2015-10-25,16
2015-11-01,16
2015-11-08,16
2015-11-15,16
2015-11-22,15
2015-11-29,17
2015-12-06,17
2015-12-13,16
2015-12-20,13
2015-12-27,11
2016-01-03,18
2016-01-10,19
2016-01-17,20
2016-01-24,23
2016-01-31,24
2016-02-07,22
2016-02-14,21
2016-02-21,23
2016-02-28,22
2016-03-06,23
2016-03-13,23
2016-03-20,23
2016-03-27,22
2016-04-03,24
2016-04-10,24
2016-04-17,26
2016-04-24,23
2016-05-01,25
2016-05-08,25
2016-05-15,26
2016-05-22,24
2016-05-29,24
2016-06-05,24
2016-06-12,24
2016-06-19,24
2016-06-26,25
2016-07-03,22
2016-07-10,24
2016-07-17,24
2016-07-24,24
2016-07-31,22
2016-08-07,21
2016-08-14,21
2016-08-21,25
2016-08-28,25
2016-09-04,25
2016-09-11,25
2016-09-18,26
2016-09-25,28
2016-10-02,29
2016-10-09,27
2016-10-16,28
2016-10-23,28
2016-10-30,29
2016-11-06,29
2016-11-13,33
2016-11-20,29
2016-11-27,30
2016-12-04,32
2016-12-11,30
2016-12-18,27
2016-12-25,21
2017-01-01,25
2017-01-08,30
2017-01-15,31
2017-01-22,32
2017-01-29,34
2017-02-05,36
2017-02-12,36
2017-02-19,37
2017-02-26,39
2017-03-05,37
2017-03-12,37
2017-03-19,39
2017-03-26,41
2017-04-02,40
2017-04-09,40
2017-04-16,39
2017-04-23,39
2017-04-30,39
2017-05-07,40
2017-05-14,40
2017-05-21,39
2017-05-28,37
2017-06-04,39
2017-06-11,39
2017-06-18,42
2017-06-25,41
2017-07-02,38
2017-07-09,42
2017-07-16,42
2017-07-23,42
2017-07-30,42
2017-08-06,41
2017-08-13,38
2017-08-20,39
2017-08-27,39
2017-09-03,39
2017-09-10,43
2017-09-17,44
2017-09-24,44
2017-10-01,43
2017-10-08,45
2017-10-15,45
2017-10-22,47
2017-10-29,48
2017-11-05,51
2017-11-12,50
2017-11-19,43
2017-11-26,47
2017-12-03,50
2017-12-10,47
2017-12-17,43
2017-12-24,28
2017-12-31,35
2018-01-07,47
2018-01-14,49
2018-01-21,52
2018-01-28,52
2018-02-04,51
2018-02-11,53
2018-02-18,53
2018-02-25,54
2018-03-04,53
2018-03-11,54
2018-03-18,55
2018-03-25,55
2018-04-01,53
2018-04-08,58
2018-04-15,59
2018-04-22,59
2018-04-29,54
2018-05-06,54
2018-05-13,57
2018-05-20,56
2018-05-27,54
2018-06-03,57
2018-06-10,58
2018-06-17,57
2018-06-24,58
2018-07-01,52
2018-07-08,57
2018-07-15,62
2018-07-22,60
2018-07-29,59
2018-08-05,60
2018-08-12,56
2018-08-19,63
2018-08-26,58
2018-09-02,56
2018-09-09,61
2018-09-16,61
2018-09-23,61
2018-09-30,61
2018-10-07,63
2018-10-14,65
2018-10-21,66
2018-10-28,64
2018-11-04,64
2018-11-11,67
2018-11-18,61
2018-11-25,67
2018-12-02,69
2018-12-09,64
2018-12-16,57
2018-12-23,36
2018-12-30,40
2019-01-06,60
2019-01-13,65
2019-01-20,66
2019-01-27,67
2019-02-03,67
2019-02-10,69
2019-02-17,71
2019-02-24,70
2019-03-03,73
2019-03-10,72
2019-03-17,74
2019-03-24,72
2019-03-31,75
2019-04-07,76
2019-04-14,71
2019-04-21,71
2019-04-28,68
2019-05-05,72
2019-05-12,78
2019-05-19,76
2019-05-26,70
2019-06-02,75
2019-06-09,78
2019-06-16,80
2019-06-23,80
2019-06-30,71
2019-07-07,80
2019-07-14,83
2019-07-21,83
2019-07-28,79
2019-08-04,79
2019-08-11,75
2019-08-18,81
2019-08-25,78
2019-09-01,75
2019-09-08,81
2019-09-15,83
2019-09-22,85
2019-09-29,80
2019-10-06,83
2019-10-13,83
2019-10-20,83
2019-10-27,81
2019-11-03,87
2019-11-10,87
2019-11-17,90
2019-11-24,78
2019-12-01,83
2019-12-08,83
2019-12-15,77
2019-12-22,46
2019-12-29,48
2020-01-05,74
2020-01-12,78
2020-01-19,80
2020-01-26,83
2020-02-02,87
2020-02-09,90
2020-02-16,93
2020-02-23,90
2020-03-01,100
